customer_id,age,gender,region,tenure_months,monthly_charges,total_charges,contract_type,internet_service,tech_support,online_security,paperless_billing,payment_method,num_support_calls,late_payments_last_year,avg_monthly_usage_gb,churn
CUST10001,23,Female,East,45,65.65,2659.64,Two year,DSL,Yes,Yes,No,Electronic check,1,1,141.4,No
CUST10002,66,Male,East,43,105.1,4357.87,One year,Fiber optic,No,Yes,Yes,Electronic check,1,1,345.3,No
CUST10003,59,Female,West,16,61.12,1074.5,Month-to-month,DSL,No,Yes,Yes,Electronic check,1,1,160.2,Yes
CUST10004,45,Female,East,58,89.25,4973.26,One year,Fiber optic,Yes,Yes,Yes,Electronic check,3,1,461.5,No
CUST10005,45,Female,North,50,91.11,4580.38,Month-to-month,Fiber optic,Yes,Yes,Yes,Bank transfer,0,3,470.1,Yes
CUST10006,72,Female,North,55,92.69,4881.11,One year,Fiber optic,Yes,Yes,No,Electronic check,2,0,447.2,Yes
CUST10007,23,Female,East,34,83.27,2690.24,One year,DSL,Yes,Yes,Yes,Credit card,1,1,213.5,No
CUST10008,61,Female,South,65,75.34,4933.31,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,3,1,165.8,No
CUST10009,30,Male,South,29,90.6,2621.57,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,2,0,261.6,Yes
CUST10010,23,Female,South,59,53.1,3029.78,One year,DSL,No,No,No,Electronic check,2,1,122.1,No
CUST10011,51,Female,East,15,90.99,1392.76,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,1,0,,Yes
CUST10012,79,Female,West,18,92.94,1558.2,Two year,Fiber optic,Yes,No,No,Electronic check,1,0,295.4,No
CUST10013,64,Male,East,38,82.87,3053.78,One year,Fiber optic,No,Yes,Yes,Mailed check,2,5,228.7,Yes
CUST10014,65,Female,South,41,49.56,1903.77,One year,DSL,Yes,No,Yes,Electronic check,2,0,45.6,No
CUST10015,63,Male,South,54,92.32,4935.01,Month-to-month,Fiber optic,No,No,No,Credit card,2,1,176.8,Yes
CUST10016,67,Male,East,22,57.22,1206.14,One year,DSL,No,Yes,Yes,Electronic check,2,1,178.4,Yes
CUST10017,50,Female,South,63,97.49,,Two year,Fiber optic,Yes,No,Yes,Mailed check,0,0,205.0,No
CUST10018,26,Female,East,24,79.46,,Month-to-month,DSL,Yes,Yes,No,Credit card,1,1,152.1,No
CUST10019,70,Female,East,39,30.21,1191.45,Month-to-month,No,No internet service,No internet service,Yes,Electronic check,1,0,0.0,Yes
CUST10020,46,Male,North,68,85.59,5870.07,Month-to-month,Fiber optic,No,No,Yes,Electronic check,1,0,306.0,Yes
CUST10021,49,Female,North,39,90.0,3575.31,Month-to-month,DSL,Yes,No,Yes,Credit card,4,1,149.6,Yes
CUST10022,41,Female,North,50,54.07,2673.03,One year,DSL,No,No,Yes,Electronic check,2,0,158.8,No
CUST10023,29,Female,West,66,41.09,2639.63,Month-to-month,DSL,No,No,No,Electronic check,2,0,154.8,Yes
CUST10024,76,Female,East,71,54.19,3629.63,One year,DSL,No,Yes,Yes,,1,1,203.1,No
CUST10025,67,Male,North,36,67.52,2414.79,Month-to-month,DSL,No,No,No,Electronic check,0,0,131.5,Yes
CUST10026,58,Female,West,31,18.0,562.42,Month-to-month,No,No internet service,No internet service,No,Credit card,2,2,0.0,Yes
CUST10027,43,Male,South,15,79.48,1179.09,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,0,0,390.1,Yes
CUST10028,69,Female,South,39,63.06,2232.2,Two year,DSL,,No,No,Bank transfer,1,0,123.0,No
